Amount,EV,Max_Spread
1000.0,0.0,-0.5
1000.0,0.0,-1.0
1000.0,0.0,-1.5
1005.3385099999999,0.0,-2.0
1005.3385099999999,0.0,-2.5
1027.060942,0.0,-3.0
1027.060942,0.0,-3.5
1093.0298179999998,0.0,-4.0
1116.0644609999997,0.0,-4.5
1122.0413689999991,0.0,-5.0
1176.9289659999993,0.0,-5.5
1282.8511459999993,0.0,-6.0
1342.3573749999991,0.0,-6.5
1466.2112869999992,0.0,-7.0
1733.6484360000002,0.0,-7.5
2062.4233919999992,0.0,-8.0
2051.3380539999994,0.0,-8.5
2129.016846999999,0.0,-9.0
2254.2236889999986,0.0,-9.5
2336.293355,0.0,-10.0
2412.954214,0.0,-10.5
2577.2509339999983,0.0,-11.0
2688.2856620000002,0.0,-11.5
2688.2856620000002,0.0,-12.0
2686.6403279999995,0.0,-12.5
2723.6114040000007,0.0,-13.0
2828.9495679999995,0.0,-13.5
2967.129086000002,0.0,-14.0
3028.9567440000023,0.0,-14.5
3028.9567440000023,0.0,-15.0
3028.9567440000023,0.0,-15.5
3028.9567440000023,0.0,-16.0
3028.9567440000023,0.0,-16.5
3095.9598640000027,0.0,-17.0
3123.776296000003,0.0,-17.5
3123.776296000003,0.0,-18.0
3123.776296000003,0.0,-18.5
3123.776296000003,0.0,-19.0
3123.776296000003,0.0,-19.5
1000.0,0.01,-0.5
1000.0,0.01,-1.0
1000.0,0.01,-1.5
1005.3385099999999,0.01,-2.0
1005.3385099999999,0.01,-2.5
1027.060942,0.01,-3.0
1027.060942,0.01,-3.5
1093.0298179999998,0.01,-4.0
1116.0644609999997,0.01,-4.5
1122.0413689999991,0.01,-5.0
1176.9289659999993,0.01,-5.5
1282.8511459999993,0.01,-6.0
1342.3573749999991,0.01,-6.5
1466.2112869999992,0.01,-7.0
1733.6484360000002,0.01,-7.5
2062.4233919999992,0.01,-8.0
2051.3380539999994,0.01,-8.5
2129.016846999999,0.01,-9.0
2254.2236889999986,0.01,-9.5
2336.293355,0.01,-10.0
2412.954214,0.01,-10.5
2577.2509339999983,0.01,-11.0
2688.2856620000002,0.01,-11.5
2688.2856620000002,0.01,-12.0
2686.6403279999995,0.01,-12.5
2723.6114040000007,0.01,-13.0
2828.9495679999995,0.01,-13.5
2967.129086000002,0.01,-14.0
3028.9567440000023,0.01,-14.5
3028.9567440000023,0.01,-15.0
3028.9567440000023,0.01,-15.5
3028.9567440000023,0.01,-16.0
3028.9567440000023,0.01,-16.5
3095.9598640000027,0.01,-17.0
3123.776296000003,0.01,-17.5
3123.776296000003,0.01,-18.0
3123.776296000003,0.01,-18.5
3123.776296000003,0.01,-19.0
3123.776296000003,0.01,-19.5
1000.0,0.02,-0.5
1000.0,0.02,-1.0
1000.0,0.02,-1.5
1005.3385099999999,0.02,-2.0
1005.3385099999999,0.02,-2.5
1027.060942,0.02,-3.0
1027.060942,0.02,-3.5
1093.0298179999998,0.02,-4.0
1116.0644609999997,0.02,-4.5
1122.0413689999991,0.02,-5.0
1176.9289659999993,0.02,-5.5
1282.8511459999993,0.02,-6.0
1342.3573749999991,0.02,-6.5
1466.2112869999992,0.02,-7.0
1733.6484360000002,0.02,-7.5
2062.4233919999992,0.02,-8.0
2051.3380539999994,0.02,-8.5
2129.016846999999,0.02,-9.0
2254.2236889999986,0.02,-9.5
2336.293355,0.02,-10.0
2412.954214,0.02,-10.5
2577.2509339999983,0.02,-11.0
2688.2856620000002,0.02,-11.5
2688.2856620000002,0.02,-12.0
2686.6403279999995,0.02,-12.5
2723.6114040000007,0.02,-13.0
2828.9495679999995,0.02,-13.5
2967.129086000002,0.02,-14.0
3028.9567440000023,0.02,-14.5
3028.9567440000023,0.02,-15.0
3028.9567440000023,0.02,-15.5
3028.9567440000023,0.02,-16.0
3028.9567440000023,0.02,-16.5
3095.9598640000027,0.02,-17.0
3123.776296000003,0.02,-17.5
3123.776296000003,0.02,-18.0
3123.776296000003,0.02,-18.5
3123.776296000003,0.02,-19.0
3123.776296000003,0.02,-19.5
1000.0,0.03,-0.5
1000.0,0.03,-1.0
1000.0,0.03,-1.5
1005.3385099999999,0.03,-2.0
1005.3385099999999,0.03,-2.5
1027.060942,0.03,-3.0
1027.060942,0.03,-3.5
1093.0298179999998,0.03,-4.0
1116.0644609999997,0.03,-4.5
1122.0413689999991,0.03,-5.0
1176.9289659999993,0.03,-5.5
1282.8511459999993,0.03,-6.0
1342.3573749999991,0.03,-6.5
1466.2112869999992,0.03,-7.0
1733.6484360000002,0.03,-7.5
2062.4233919999992,0.03,-8.0
2051.3380539999994,0.03,-8.5
2129.016846999999,0.03,-9.0
2254.2236889999986,0.03,-9.5
2336.293355,0.03,-10.0
2412.954214,0.03,-10.5
2577.2509339999983,0.03,-11.0
2688.2856620000002,0.03,-11.5
2688.2856620000002,0.03,-12.0
2686.6403279999995,0.03,-12.5
2723.6114040000007,0.03,-13.0
2828.9495679999995,0.03,-13.5
2967.129086000002,0.03,-14.0
3028.9567440000023,0.03,-14.5
3028.9567440000023,0.03,-15.0
3028.9567440000023,0.03,-15.5
3028.9567440000023,0.03,-16.0
3028.9567440000023,0.03,-16.5
3095.9598640000027,0.03,-17.0
3123.776296000003,0.03,-17.5
3123.776296000003,0.03,-18.0
3123.776296000003,0.03,-18.5
3123.776296000003,0.03,-19.0
3123.776296000003,0.03,-19.5
1000.0,0.04,-0.5
1000.0,0.04,-1.0
1000.0,0.04,-1.5
1005.3385099999999,0.04,-2.0
1005.3385099999999,0.04,-2.5
1027.060942,0.04,-3.0
1027.060942,0.04,-3.5
1093.0298179999998,0.04,-4.0
1116.0644609999997,0.04,-4.5
1122.0413689999991,0.04,-5.0
1176.9289659999993,0.04,-5.5
1282.8511459999993,0.04,-6.0
1342.3573749999991,0.04,-6.5
1466.2112869999992,0.04,-7.0
1733.6484360000002,0.04,-7.5
2062.4233919999992,0.04,-8.0
2051.3380539999994,0.04,-8.5
2129.016846999999,0.04,-9.0
2254.2236889999986,0.04,-9.5
2336.293355,0.04,-10.0
2412.954214,0.04,-10.5
2577.2509339999983,0.04,-11.0
2688.2856620000002,0.04,-11.5
2688.2856620000002,0.04,-12.0
2686.6403279999995,0.04,-12.5
2723.6114040000007,0.04,-13.0
2828.9495679999995,0.04,-13.5
2967.129086000002,0.04,-14.0
3028.9567440000023,0.04,-14.5
3028.9567440000023,0.04,-15.0
3028.9567440000023,0.04,-15.5
3028.9567440000023,0.04,-16.0
3028.9567440000023,0.04,-16.5
3095.9598640000027,0.04,-17.0
3123.776296000003,0.04,-17.5
3123.776296000003,0.04,-18.0
3123.776296000003,0.04,-18.5
3123.776296000003,0.04,-19.0
3123.776296000003,0.04,-19.5
1000.0,0.05,-0.5
1000.0,0.05,-1.0
1000.0,0.05,-1.5
1005.3385099999999,0.05,-2.0
1005.3385099999999,0.05,-2.5
1027.060942,0.05,-3.0
1027.060942,0.05,-3.5
1093.0298179999998,0.05,-4.0
1116.0644609999997,0.05,-4.5
1122.0413689999991,0.05,-5.0
1176.9289659999993,0.05,-5.5
1282.8511459999993,0.05,-6.0
1342.3573749999991,0.05,-6.5
1466.2112869999992,0.05,-7.0
1733.6484360000002,0.05,-7.5
2062.4233919999992,0.05,-8.0
2051.3380539999994,0.05,-8.5
2129.016846999999,0.05,-9.0
2254.2236889999986,0.05,-9.5
2336.293355,0.05,-10.0
2412.954214,0.05,-10.5
2577.2509339999983,0.05,-11.0
2688.2856620000002,0.05,-11.5
2688.2856620000002,0.05,-12.0
2686.6403279999995,0.05,-12.5
2723.6114040000007,0.05,-13.0
2828.9495679999995,0.05,-13.5
2967.129086000002,0.05,-14.0
3028.9567440000023,0.05,-14.5
3028.9567440000023,0.05,-15.0
3028.9567440000023,0.05,-15.5
3028.9567440000023,0.05,-16.0
3028.9567440000023,0.05,-16.5
3095.9598640000027,0.05,-17.0
3123.776296000003,0.05,-17.5
3123.776296000003,0.05,-18.0
3123.776296000003,0.05,-18.5
3123.776296000003,0.05,-19.0
3123.776296000003,0.05,-19.5
1000.0,0.06,-0.5
1000.0,0.06,-1.0
1000.0,0.06,-1.5
1005.3385099999999,0.06,-2.0
1005.3385099999999,0.06,-2.5
1027.060942,0.06,-3.0
1027.060942,0.06,-3.5
1093.0298179999998,0.06,-4.0
1116.0644609999997,0.06,-4.5
1122.0413689999991,0.06,-5.0
1176.9289659999993,0.06,-5.5
1282.8511459999993,0.06,-6.0
1342.3573749999991,0.06,-6.5
1466.2112869999992,0.06,-7.0
1733.6484360000002,0.06,-7.5
2062.4233919999992,0.06,-8.0
2051.3380539999994,0.06,-8.5
2129.016846999999,0.06,-9.0
2254.2236889999986,0.06,-9.5
2336.293355,0.06,-10.0
2412.954214,0.06,-10.5
2577.2509339999983,0.06,-11.0
2688.2856620000002,0.06,-11.5
2688.2856620000002,0.06,-12.0
2686.6403279999995,0.06,-12.5
2723.6114040000007,0.06,-13.0
2828.9495679999995,0.06,-13.5
2967.129086000002,0.06,-14.0
3028.9567440000023,0.06,-14.5
3028.9567440000023,0.06,-15.0
3028.9567440000023,0.06,-15.5
3028.9567440000023,0.06,-16.0
3028.9567440000023,0.06,-16.5
3095.9598640000027,0.06,-17.0
3123.776296000003,0.06,-17.5
3123.776296000003,0.06,-18.0
3123.776296000003,0.06,-18.5
3123.776296000003,0.06,-19.0
3123.776296000003,0.06,-19.5
1000.0,0.07,-0.5
1000.0,0.07,-1.0
1000.0,0.07,-1.5
1005.3385099999999,0.07,-2.0
1005.3385099999999,0.07,-2.5
1021.3641359999999,0.07,-3.0
1021.3641359999999,0.07,-3.5
1087.3330119999996,0.07,-4.0
1109.0149209999995,0.07,-4.5
1115.684221999999,0.07,-5.0
1168.363473999999,0.07,-5.5
1275.3059369999992,0.07,-6.0
1335.812165999999,0.07,-6.5
1459.666077999999,0.07,-7.0
1719.2707760000003,0.07,-7.5
2046.8188420000001,0.07,-8.0
2038.108835,0.07,-8.5
2114.255328,0.07,-9.0
2239.8902769999986,0.07,-9.5
2315.8592049999997,0.07,-10.0
2400.5887129999996,0.07,-10.5
2560.1420839999987,0.07,-11.0
2668.6270139999992,0.07,-11.5
2668.6270139999992,0.07,-12.0
2666.9816799999985,0.07,-12.5
2703.701251,0.07,-13.0
2806.606914,0.07,-13.5
2944.8982690000016,0.07,-14.0
3006.925944000002,0.07,-14.5
3006.925944000002,0.07,-15.0
3006.925944000002,0.07,-15.5
3006.925944000002,0.07,-16.0
3006.925944000002,0.07,-16.5
3073.3281680000023,0.07,-17.0
3099.218504000003,0.07,-17.5
3099.218504000003,0.07,-18.0
3099.218504000003,0.07,-18.5
3099.218504000003,0.07,-19.0
3099.218504000003,0.07,-19.5
1000.0,0.08,-0.5
1000.0,0.08,-1.0
1000.0,0.08,-1.5
1005.3385099999999,0.08,-2.0
1005.3385099999999,0.08,-2.5
1010.4865040000001,0.08,-3.0
1010.4865040000001,0.08,-3.5
1078.9591019999996,0.08,-4.0
1099.2836799999993,0.08,-4.5
1107.1574669999986,0.08,-5.0
1159.3230289999988,0.08,-5.5
1273.331650999999,0.08,-6.0
1327.7102439999994,0.08,-6.5
1448.5764049999993,0.08,-7.0
1700.092096,0.08,-7.5
2019.126865000001,0.08,-8.0
2013.8324140000009,0.08,-8.5
2095.282197,0.08,-9.0
2212.6626809999993,0.08,-9.5
2296.569637,0.08,-10.0
2380.81702,0.08,-10.5
2531.613711999999,0.08,-11.0
2647.9930950000003,0.08,-11.5
2647.9930950000003,0.08,-12.0
2644.9354529999996,0.08,-12.5
2674.4515739999997,0.08,-13.0
2782.6366099999996,0.08,-13.5
2900.121831000001,0.08,-14.0
2968.3899740000015,0.08,-14.5
2968.3899740000015,0.08,-15.0
2968.3899740000015,0.08,-15.5
2968.3899740000015,0.08,-16.0
2968.3899740000015,0.08,-16.5
3044.7681210000032,0.08,-17.0
3073.6285870000024,0.08,-17.5
3073.6285870000024,0.08,-18.0
3073.6285870000024,0.08,-18.5
3073.6285870000024,0.08,-19.0
3073.6285870000024,0.08,-19.5
1000.0,0.09,-0.5
1000.0,0.09,-1.0
1000.0,0.09,-1.5
1005.3385099999999,0.09,-2.0
1005.3385099999999,0.09,-2.5
1007.7142660000001,0.09,-3.0
1007.7142660000001,0.09,-3.5
1076.5377409999996,0.09,-4.0
1094.511441999999,0.09,-4.5
1103.4407749999987,0.09,-5.0
1150.0563719999986,0.09,-5.5
1259.4567699999989,0.09,-6.0
1320.5337609999992,0.09,-6.5
1445.4081309999995,0.09,-7.0
1691.1605619999998,0.09,-7.5
2009.2373230000012,0.09,-8.0
2005.4655420000008,0.09,-8.5
2079.578059,0.09,-9.0
2197.367266,0.09,-9.5
2286.918779,0.09,-10.0
2363.086603,0.09,-10.5
2513.405445999999,0.09,-11.0
2636.3779680000002,0.09,-11.5
2636.3779680000002,0.09,-12.0
2636.283796,0.09,-12.5
2658.024129,0.09,-13.0
2761.1135590000004,0.09,-13.5
2880.5321890000005,0.09,-14.0
2950.0419040000024,0.09,-14.5
2950.0419040000024,0.09,-15.0
2950.0419040000024,0.09,-15.5
2950.0419040000024,0.09,-16.0
2950.0419040000024,0.09,-16.5
3012.0115480000027,0.09,-17.0
3051.0494110000027,0.09,-17.5
3051.0494110000027,0.09,-18.0
3051.0494110000027,0.09,-18.5
3051.0494110000027,0.09,-19.0
3051.0494110000027,0.09,-19.5
1000.0,0.1,-0.5
1000.0,0.1,-1.0
1000.0,0.1,-1.5
1005.3385099999999,0.1,-2.0
1005.3385099999999,0.1,-2.5
1000.46744,0.1,-3.0
1000.46744,0.1,-3.5
1070.6242479999999,0.1,-4.0
1085.9339459999994,0.1,-4.5
1093.437782999999,0.1,-5.0
1144.842198999999,0.1,-5.5
1250.1952339999991,0.1,-6.0
1308.8579379999994,0.1,-6.5
1439.7357459999998,0.1,-7.0
1675.373599,0.1,-7.5
1988.5953270000005,0.1,-8.0
1982.065481000001,0.1,-8.5
2060.09492,0.1,-9.0
2174.4275889999994,0.1,-9.5
2265.927540999999,0.1,-10.0
2342.377885,0.1,-10.5
2492.698309999999,0.1,-11.0
2609.195818999999,0.1,-11.5
2609.195818999999,0.1,-12.0
2612.8145059999997,0.1,-12.5
2640.9931690000003,0.1,-13.0
2733.359645,0.1,-13.5
2850.7159230000007,0.1,-14.0
2909.278992000001,0.1,-14.5
2909.278992000001,0.1,-15.0
2909.278992000001,0.1,-15.5
2909.278992000001,0.1,-16.0
2909.278992000001,0.1,-16.5
2988.7315400000025,0.1,-17.0
3018.309750000003,0.1,-17.5
3018.309750000003,0.1,-18.0
3018.309750000003,0.1,-18.5
3018.309750000003,0.1,-19.0
3018.309750000003,0.1,-19.5
